id,title,title_en,image_url,chapters,publishing,published_from,published_to,score,scored_by,members,favorites,author
1,Monster,Monster,https://cdn.myanimelist.net/images/manga/3/258224.jpg,162,False,1994-12-05T00:00:00+00:00,2001-12-20T00:00:00+00:00,9.14,83708,214367,18710,1867
2,Berserk,Berserk,https://cdn.myanimelist.net/images/manga/1/157897.jpg,0,True,1989-08-25T00:00:00+00:00,,9.47,299323,607170,113562,1868
3,20th Century Boys,20th Century Boys,https://cdn.myanimelist.net/images/manga/5/260006.jpg,249,False,1999-09-27T00:00:00+00:00,2006-04-24T00:00:00+00:00,8.95,75431,219385,17375,1867
4,Yokohama Kaidashi Kikou,Yokohama Kaidashi Kikou,https://cdn.myanimelist.net/images/manga/1/171813.jpg,142,False,1994-04-25T00:00:00+00:00,2006-02-25T00:00:00+00:00,8.68,16946,67265,4769,1869
7,Hajime no Ippo,,https://cdn.myanimelist.net/images/manga/2/250313.jpg,0,True,1989-09-27T00:00:00+00:00,,8.7,32838,76329,6087,1876
8,Full Moon wo Sagashite,Full Moon wo Sagashite,https://cdn.myanimelist.net/images/manga/3/175970.jpg,35,False,2001-12-01T00:00:00+00:00,2004-04-30T00:00:00+00:00,8.04,18184,35811,1874,1878
9,Tsubasa: RESERVoir CHRoNiCLE,Tsubasa: RESERVoir CHRoNiCLE,https://cdn.myanimelist.net/images/manga/1/272410.jpg,233,False,2003-05-21T00:00:00+00:00,2009-10-07T00:00:00+00:00,8.3,36065,76400,6122,1877
10,xxxHOLiC,xxxHOLiC,https://cdn.myanimelist.net/images/manga/3/217533.jpg,213,False,2003-02-24T00:00:00+00:00,2011-02-09T00:00:00+00:00,8.38,31140,78307,4884,1877
11,Naruto,Naruto,https://cdn.myanimelist.net/images/manga/3/249658.jpg,700,False,1999-09-21T00:00:00+00:00,2014-11-10T00:00:00+00:00,8.07,259685,393962,42815,1879
12,Bleach,Bleach,https://cdn.myanimelist.net/images/manga/3/180031.jpg,705,False,2001-08-07T00:00:00+00:00,2016-08-22T00:00:00+00:00,7.82,218591,355861,33741,1880
13,One Piece,One Piece,https://cdn.myanimelist.net/images/manga/2/253146.jpg,0,True,1997-07-22T00:00:00+00:00,,9.21,336030,548929,107065,1881
14,Rave,Rave Master,https://cdn.myanimelist.net/images/manga/3/255624.jpg,298,False,1999-07-07T00:00:00+00:00,2005-07-27T00:00:00+00:00,7.85,22796,48214,2064,1882
15,Mahou Sensei Negima!,Negima! Magister Negi Magi,https://cdn.myanimelist.net/images/manga/1/259286.jpg,355,False,2003-02-26T00:00:00+00:00,2012-03-14T00:00:00+00:00,7.94,34731,71830,5017,1883
16,Love Hina,Love Hina,https://cdn.myanimelist.net/images/manga/1/259287.jpg,120,False,1998-10-21T00:00:00+00:00,2001-10-31T00:00:00+00:00,7.8,35641,65454,3900,1883
17,Kareshi Kanojo no Jijou,Kare Kano: His and Her Circumstances,https://cdn.myanimelist.net/images/manga/1/267780.jpg,108,False,1995-12-22T00:00:00+00:00,2005-05-10T00:00:00+00:00,8.16,13782,36660,1593,1885
18,Kodomo no Omocha,Kodocha: Sana's Stage,https://cdn.myanimelist.net/images/manga/1/267715.jpg,54,False,1994-07-02T00:00:00+00:00,1998-10-03T00:00:00+00:00,8.3,9948,20907,1123,1884
19,GetBackers,GetBackers,https://cdn.myanimelist.net/images/manga/1/169369.jpg,344,False,1999-03-24T00:00:00+00:00,2007-02-21T00:00:00+00:00,7.62,5381,13994,397,1886
20,Hikaru no Go,Hikaru no Go,https://cdn.myanimelist.net/images/manga/2/170574.jpg,198,False,1998-12-08T00:00:00+00:00,2003-07-14T00:00:00+00:00,8.12,21572,43587,1917,1888
21,Death Note,Death Note,https://cdn.myanimelist.net/images/manga/1/258245.jpg,108,False,2003-12-01T00:00:00+00:00,2006-05-15T00:00:00+00:00,8.7,213882,370779,30874,1888
22,Rurouni Kenshin: Meiji Kenkaku Romantan,Rurouni Kenshin: Meiji Swordsman Romantic Story,https://cdn.myanimelist.net/images/manga/2/127583.jpg,259,False,1994-04-12T00:00:00+00:00,1999-09-21T00:00:00+00:00,8.56,45213,91867,7006,1890
23,Ranma ½,Ranma 1/2,https://cdn.myanimelist.net/images/manga/1/156534.jpg,407,False,1987-08-05T00:00:00+00:00,1996-02-21T00:00:00+00:00,7.99,23759,47638,2866,1891
24,D.Gray-man,D.Gray-man,https://cdn.myanimelist.net/images/manga/3/240470.jpg,0,True,2004-05-31T00:00:00+00:00,,8.29,60903,149364,12190,1892
25,Fullmetal Alchemist,Fullmetal Alchemist,https://cdn.myanimelist.net/images/manga/3/243675.jpg,116,False,2001-07-12T00:00:00+00:00,2010-09-11T00:00:00+00:00,9.04,149431,276453,29187,1874
26,Hunter x Hunter,Hunter x Hunter,https://cdn.myanimelist.net/images/manga/2/253119.jpg,0,True,1998-03-03T00:00:00+00:00,,8.72,114132,247628,21929,1893
27,X,X,https://cdn.myanimelist.net/images/manga/2/267781.jpg,158,False,1992-03-24T00:00:00+00:00,2003-03-24T00:00:00+00:00,8.11,8065,23241,974,1877
28,Nana,Nana,https://cdn.myanimelist.net/images/manga/1/262324.jpg,84,False,2000-05-26T00:00:00+00:00,2009-05-26T00:00:00+00:00,8.78,38813,121696,10276,1894
29,Paradise Kiss,Paradise Kiss,https://cdn.myanimelist.net/images/manga/1/262323.jpg,48,False,1999-03-23T00:00:00+00:00,2003-03-22T00:00:00+00:00,8.29,19365,46742,2346,1894
30,Ouran Koukou Host Club,Ouran High School Host Club,https://cdn.myanimelist.net/images/manga/3/267782.jpg,87,False,2002-07-24T00:00:00+00:00,2010-09-24T00:00:00+00:00,8.5,57690,121671,7884,1895
31,Lovely★Complex,Love★Com,https://cdn.myanimelist.net/images/manga/1/209659.jpg,68,False,2001-08-13T00:00:00+00:00,2007-08-13T00:00:00+00:00,8.34,26340,59546,2690,1896
32,666 Satan,O-Parts Hunter,https://cdn.myanimelist.net/images/manga/3/267783.jpg,78,False,2001-08-11T00:00:00+00:00,2007-12-12T00:00:00+00:00,7.45,16247,33559,1034,1897
33,Pita-Ten,Pita-Ten,https://cdn.myanimelist.net/images/manga/3/191236.jpg,47,False,1999-08-27T00:00:00+00:00,2003-06-27T00:00:00+00:00,7.35,3953,7793,278,1898
34,Di Gi Charat: Koushiki Comic Anthology,Di Gi Charat,https://cdn.myanimelist.net/images/manga/1/267784.jpg,72,False,1998-07-01T00:00:00+00:00,2000-03-01T00:00:00+00:00,6.5,637,1582,17,1898
35,Kamichama Karin,Kamichama Karin,https://cdn.myanimelist.net/images/manga/2/267789.jpg,32,False,2002-11-02T00:00:00+00:00,2008-04-03T00:00:00+00:00,7.5,5816,11855,300,1898
36,Kamikaze Kaitou Jeanne,Phantom Thief Jeanne,https://cdn.myanimelist.net/images/manga/2/267790.jpg,33,False,1997-12-29T00:00:00+00:00,2000-06-03T00:00:00+00:00,7.8,10213,19162,800,1878
37,Shinshi Doumei Cross,The Gentleman's Alliance Cross,https://cdn.myanimelist.net/images/manga/3/257940.jpg,59,False,2004-08-03T00:00:00+00:00,2008-06-03T00:00:00+00:00,7.86,12390,25580,1059,1878
38,+Anima,+Anima,https://cdn.myanimelist.net/images/manga/2/267791.jpg,59,False,1999-12-27T00:00:00+00:00,2005-01-27T00:00:00+00:00,7.66,10367,20392,884,1899
39,Zombie Powder.,Zombiepowder.,https://cdn.myanimelist.net/images/manga/3/180035.jpg,30,False,1999-07-19T00:00:00+00:00,2000-02-15T00:00:00+00:00,7.0,7185,14893,249,1880
40,Black Cat,Black Cat,https://cdn.myanimelist.net/images/manga/2/186071.jpg,187,False,2000-07-11T00:00:00+00:00,2004-06-14T00:00:00+00:00,7.81,21634,46628,1739,1900
41,Busou Renkin,Buso Renkin,https://cdn.myanimelist.net/images/manga/2/149583.jpg,83,False,2003-06-23T00:00:00+00:00,2006-04-25T00:00:00+00:00,7.26,7797,16400,227,1890
42,Dragon Ball,Dragon Ball,https://cdn.myanimelist.net/images/manga/1/267793.jpg,520,False,1984-11-20T00:00:00+00:00,1995-05-23T00:00:00+00:00,8.4,89103,145792,13465,1901
43,Eyeshield 21,Eyeshield 21,https://cdn.myanimelist.net/images/manga/2/165586.jpg,333,False,2002-07-23T00:00:00+00:00,2009-06-15T00:00:00+00:00,8.48,34134,72268,4291,1902
44,Gintama,Gin Tama,https://cdn.myanimelist.net/images/manga/3/267795.jpg,709,False,2003-12-08T00:00:00+00:00,2019-06-20T00:00:00+00:00,8.62,37911,89779,8154,1904
45,Ichigo 100%,Strawberry 100%,https://cdn.myanimelist.net/images/manga/2/259714.jpg,167,False,2002-02-19T00:00:00+00:00,2005-08-01T00:00:00+00:00,7.78,20560,46125,1997,1905
46,Kannade,,https://cdn.myanimelist.net/images/manga/3/267796.jpg,15,False,2003-09-22T00:00:00+00:00,2003-12-15T00:00:00+00:00,6.84,104,393,0,1906
47,Katekyo Hitman Reborn!,Reborn!,https://cdn.myanimelist.net/images/manga/2/253085.jpg,411,False,2004-05-24T00:00:00+00:00,2012-11-12T00:00:00+00:00,8.12,65227,118564,9643,1907
48,Pretty Face,Pretty Face,https://cdn.myanimelist.net/images/manga/1/123699.jpg,53,False,2002-05-14T00:00:00+00:00,2003-06-09T00:00:00+00:00,7.58,9906,18335,510,1908
