id1,id2,votes
1,3,12
1,21,11
1,745,9
1,1695,5
1,111213,4
1,344,4
1,1677,4
1,1929,3
1,11054,3
1,1479,2
2,583,44
2,656,34
2,642,26
2,23390,14
2,564,12
2,1474,12
2,736,12
2,70,8
2,16765,8
2,116778,7
3,1,12
3,745,8
3,11054,8
3,4632,6
3,1929,6
3,70801,4
3,1373,2
3,5627,2
3,1649,2
3,731,2
4,81,11
4,72467,6
4,104,4
4,418,4
4,126287,3
4,3321,3
4,17465,3
4,1471,2
4,5060,2
4,11061,2
7,25300,6
7,1303,6
7,78477,5
7,988,5
7,25730,4
7,7075,4
7,13,3
7,8586,3
7,51,3
7,8300,3
8,102,9
8,271,4
8,86,3
8,52185,3
8,50587,3
8,36,3
8,33,2
8,190,2
8,886,2
8,3097,2
9,3031,8
9,396,5
9,10,4
9,106,4
9,119,4
9,98578,3
9,24457,3
9,27,3
9,14,2
9,893,2
10,128,6
10,551,5
10,108,5
10,9,4
10,1102,3
10,16739,3
10,418,3
10,32229,2
10,68053,2
10,133,2
11,75989,16
11,13,16
11,32,11
11,86337,7
11,13492,7
11,26,6
11,12,6
11,598,4
11,24,4
11,53,3
12,113138,11
12,53,8
12,583,8
12,3438,6
12,11,6
12,39,6
12,1045,5
12,278,5
12,86337,5
12,13,5
13,598,26
13,11,16
13,26,12
13,16765,12
13,7887,11
13,42,6
13,122663,6
13,14790,6
13,44485,6
13,12,5
14,598,13
14,3438,3
14,32,2
14,9,2
14,44485,2
14,114548,2
14,41,1
14,14036,1
14,509,1
14,12,1
15,16,9
15,616,2
15,598,2
15,14790,2
15,26,2
15,10960,1
15,14922,1
15,665,1
15,4780,1
15,10345,1
16,15,9
16,31499,9
16,615,8
16,110,4
16,671,3
16,3214,2
16,421,2
16,815,2
16,430,2
16,744,2
17,443,5
17,37705,4
17,1774,3
17,1814,3
17,1271,3
17,42451,3
17,18,3
17,877,2
17,907,2
17,8039,2
18,320,11
18,91,4
18,1802,3
18,1039,3
18,17,3
18,84559,3
18,899,2
18,102,2
18,10330,2
18,1027,1
19,513,2
19,40,2
19,425,1
19,367,1
19,27,1
19,99,1
19,8341,1
19,7429,1
19,573,1
19,125448,1
20,9711,6
20,13245,4
20,54,3
20,21,3
20,29447,2
20,2895,2
20,1320,1
20,614,1
20,653,1
20,12,1
21,1649,18
21,5802,13
21,100128,12
21,1,11
21,5627,10
21,1101,7
21,9711,6
21,8967,6
21,93180,5
21,584,5
22,40,7
22,656,5
22,41,4
22,5664,3
22,658,3
22,12,2
22,703,2
22,704,2
22,513,2
22,473,2
23,676,3
23,92149,2
23,42,2
23,48,2
23,184,2
23,446,1
23,14787,1
23,1061,1
23,135496,1
23,1631,1
24,3031,14
24,13492,10
24,25,9
24,908,6
24,5113,6
24,1709,6
24,583,5
24,11,4
24,1349,4
24,12,3
25,24,9
25,3031,8
25,14790,8
25,3438,4
25,100035,3
25,96792,3
25,23390,2
25,3099,2
25,48151,2
25,1652,2
26,13,12
26,75989,10
26,7887,9
26,53,7
26,113138,7
26,14790,6
26,11,6
26,100128,4
26,3438,4
26,122663,4
27,9,3
27,1951,3
27,974,2
27,99,2
27,764,2
27,297,2
27,784,1
27,500,1
27,3933,1
27,448,1
28,29,7
28,3731,4
28,1802,4
28,145,4
28,3715,4
28,35573,4
28,420,3
28,17904,3
28,125857,3
28,10442,2
29,1802,8
29,28,7
29,3715,5
29,475,2
29,30,2
29,1267,2
29,392,2
29,164,2
29,30079,2
29,17596,1
30,57,20
30,633,11
30,350,11
30,2921,8
30,1271,5
30,422,4
30,54779,4
30,877,4
30,30315,3
30,10960,3
31,591,14
31,1398,6
31,3378,4
31,3458,4
31,99801,3
31,1031,2
31,1329,2
31,52587,2
31,60095,2
31,21323,2
32,11,11
32,42,5
32,13492,4
32,86337,3
32,6612,3
32,906,2
32,14,2
32,134,2
32,19983,2
32,598,2
33,118,3
33,35,2
33,109,2
33,8,2
33,1139,1
33,4428,1
33,554,1
33,3230,1
33,103487,1
33,1524,1
34,11203,1
35,33,2
35,106,2
35,329,2
35,1555,1
35,1248,1
35,101,1
35,320,1
35,8735,1
35,271,1
35,1228,1
36,106,5
36,94,4
36,86,3
36,190,3
36,8,3
36,92,3
36,508,3
36,1932,2
36,1118,1
36,11107,1
37,411,5
37,1978,4
37,102,4
37,8,2
37,618,2
37,772,2
37,11107,2
37,101,1
37,98,1
37,157,1
38,91941,2
38,4119,2
38,11896,2
38,128,1
38,341,1
38,1859,1
38,30755,1
38,106,1
38,21167,1
38,11843,1
39,12,6
39,25,2
39,3438,2
39,703,2
39,4612,1
39,648,1
39,3099,1
39,9268,1
39,11330,1
40,22,7
40,19,2
40,338,2
40,56529,2
40,41,1
40,6314,1
40,173,1
40,906,1
40,219,1
40,5627,1
41,22,4
41,12,3
41,25,2
41,20208,1
41,14,1
41,50,1
41,53,1
41,74,1
41,908,1
41,3099,1
42,13,6
42,32,5
42,12,4
42,2845,3
42,871,3
42,7887,3
42,19983,2
42,11,2
42,44347,2
42,111996,2
43,47,4
43,35243,4
43,51,3
43,11652,3
43,49,3
43,8300,2
43,52,2
43,7864,2
43,7,2
43,75989,1
44,1414,8
44,10010,6
44,20242,5
44,44347,4
44,70345,3
44,7749,3
44,3537,2
44,14154,2
44,36413,2
44,39883,2
45,430,6
45,31499,6
45,16,4
45,421,4
45,818,4
45,671,3
45,41535,2
45,34905,1
45,67019,1
45,20038,1
47,75989,7
47,5664,6
47,43,4
47,12,3
47,10010,3
47,3008,3
47,13,3
47,988,2
47,39883,2
47,8586,2
48,900,3
48,962,3
48,23,2
48,616,2
48,572,2
48,302,2
48,1061,2
48,4480,2
48,57,1
48,460,1
49,8300,5
49,11652,4
49,43,3
49,633,3
49,3350,2
49,12648,1
49,7200,1
49,9033,1
49,6310,1
49,74,1
50,872,3
50,3539,3
50,326,3
50,869,2
50,908,2
50,53,2
50,25,2
50,105,1
50,14790,1
50,25588,1
51,657,7
51,35243,5
51,915,4
51,11652,4
51,43,3
51,1511,3
51,5651,3
51,7,3
51,27587,2
51,1221,2
52,1511,2
52,8795,2
52,43,2
52,49,1
52,13896,1
52,20,1
52,1217,1
52,7864,1
52,13897,1
52,35243,1
53,12,8
53,26,7
53,3006,4
53,136,3
53,10010,3
53,11,3
53,113138,3
53,50,2
53,278,2
53,401,1
